iter	Passed	Remaining
555	3625	2895
556	3632	2889
557	3638	2882
558	3647	2877
559	3654	2871
560	3659	2863
561	3665	2857
562	3673	2851
563	3680	2844
564	3686	2838
565	3694	2832
566	3701	2826
567	3708	2820
568	3715	2814
569	3722	2808
570	3728	2801
571	3734	2794
572	3741	2788
573	3747	2781
574	3754	2775
575	3761	2768
576	3767	2762
577	3774	2756
578	3780	2748
579	3787	2742
580	3794	2736
581	3801	2730
582	3807	2723
583	3815	2717
584	3821	2711
585	3828	2704
586	3834	2697
587	3841	2691
588	3847	2684
589	3853	2677
590	3862	2672
591	3869	2666
592	3876	2660
593	3882	2653
594	3889	2647
595	3895	2640
596	3901	2633
597	3908	2627
598	3914	2620
599	3921	2614
600	3928	2607
601	3935	2601
602	3941	2595
603	3947	2588
604	3953	2581
605	3960	2574
606	3967	2568
607	3975	2563
608	3982	2557
609	3988	2550
610	3995	2543
611	4001	2537
612	4008	2530
613	4014	2523
614	4021	2517
615	4027	2510
616	4035	2504
617	4042	2498
618	4048	2491
619	4055	2485
620	4061	2478
621	4067	2471
622	4073	2465
623	4080	2458
624	4087	2452
625	4093	2445
626	4100	2439
627	4107	2432
628	4112	2425
629	4119	2419
630	4126	2413
631	4132	2406
632	4138	2399
633	4143	2392
634	4150	2385
635	4156	2378
636	4162	2372
637	4170	2366
638	4175	2359
639	4182	2352
640	4188	2346
641	4195	2339
642	4202	2333
643	4209	2327
644	4217	2321
645	4223	2314
646	4230	2308
647	4237	2301
648	4244	2295
649	4251	2289
650	4257	2282
651	4263	2275
652	4270	2269
653	4276	2262
654	4281	2255
655	4288	2248
656	4295	2242
657	4301	2235
658	4308	2229
659	4315	2223
660	4322	2216
661	4328	2210
662	4334	2203
663	4340	2196
664	4346	2189
665	4354	2183
666	4360	2177
667	4366	2170
668	4372	2163
669	4379	2157
670	4386	2150
671	4392	2144
672	4399	2137
673	4404	2130
674	4411	2123
675	4417	2117
676	4423	2110
677	4429	2103
678	4436	2097
679	4443	2091
680	4450	2084
681	4456	2078
682	4463	2071
683	4469	2064
684	4475	2058
685	4484	2052
686	4491	2046
687	4498	2039
688	4504	2033
689	4510	2026
690	4517	2020
691	4524	2013
692	4531	2007
693	4538	2000
694	4544	1994
695	4551	1987
696	4557	1981
697	4564	1974
698	4571	1968
699	4576	1961
700	4584	1955
701	4589	1948
702	4597	1942
703	4603	1935
704	4610	1929
705	4617	1922
706	4622	1915
707	4629	1909
708	4635	1902
709	4642	1896
710	4649	1890
711	4656	1883
712	4664	1877
713	4669	1870
714	4676	1864
715	4682	1857
716	4689	1850
717	4695	1844
718	4703	1838
719	4709	1831
720	4716	1825
721	4722	1818
722	4729	1812
723	4735	1805
724	4741	1798
725	4748	1792
726	4754	1785
727	4760	1778
728	4767	1772
729	4773	1765
730	4779	1758
731	4785	1752
732	4791	1745
733	4797	1738
734	4804	1732
735	4811	1725
736	4818	1719
737	4825	1713
738	4832	1706
739	4840	1700
740	4848	1694
741	4856	1688
742	4863	1682
743	4870	1675
744	4876	1669
745	4883	1662
746	4889	1656
747	4897	1649
748	4903	1643
749	4909	1636
750	4916	1630
751	4922	1623
752	4929	1616
753	4936	1610
754	4943	1604
755	4950	1597
756	4956	1591
757	4963	1584
758	4969	1577
759	4977	1571
760	4985	1565
761	4993	1559
762	5000	1553
763	5005	1546
764	5011	1539
765	5017	1532
766	5023	1526
767	5030	1519
768	5036	1513
769	5043	1506
770	5050	1500
771	5057	1493
772	5065	1487
773	5072	1481
774	5079	1474
775	5085	1467
776	5092	1461
777	5098	1454
778	5105	1448
779	5112	1442
780	5118	1435
781	5124	1428
782	5131	1422
783	5138	1415
784	5144	1409
785	5150	1402
786	5158	1396
787	5164	1389
788	5170	1382
789	5177	1376
790	5183	1369
791	5190	1363
792	5197	1356
793	5204	1350
794	5211	1343
795	5217	1337
796	5225	1330
797	5231	1324
798	5237	1317
799	5243	1310
800	5250	1304
801	5257	1297
802	5263	1291
803	5271	1284
804	5277	1278
805	5284	1271
806	5290	1265
807	5298	1258
808	5305	1252
809	5312	1246
810	5319	1239
811	5325	1232
812	5331	1226
813	5339	1220
814	5346	1213
815	5352	1206
816	5358	1200
817	5365	1193
818	5372	1187
819	5378	1180
820	5383	1173
821	5390	1167
822	5397	1160
823	5404	1154
824	5411	1147
825	5417	1141
826	5424	1134
827	5432	1128
828	5438	1121
829	5444	1115
830	5451	1108
831	5458	1102
832	5465	1095
833	5472	1089
834	5478	1082
835	5484	1075
836	5491	1069
837	5497	1062
838	5506	1056
839	5512	1050
840	5519	1043
841	5525	1036
842	5533	1030
843	5539	1023
844	5545	1017
845	5551	1010
846	5558	1004
847	5564	997
848	5570	990
849	5579	984
850	5585	978
851	5592	971
852	5598	964
853	5604	958
854	5611	951
855	5617	945
856	5624	938
857	5630	931
858	5637	925
859	5644	918
860	5651	912
861	5658	905
862	5664	899
863	5670	892
864	5676	885
865	5683	879
866	5689	872
867	5697	866
868	5704	859
869	5710	853
870	5717	846
871	5723	840
872	5729	833
873	5736	827
874	5742	820
875	5748	813
876	5755	807
877	5762	800
878	5769	794
879	5776	787
880	5784	781
881	5790	774
882	5796	768
883	5803	761
884	5810	754
885	5816	748
886	5822	741
887	5829	735
888	5835	728
889	5842	722
890	5848	715
891	5855	708
892	5862	702
893	5868	695
894	5873	689
895	5880	682
896	5886	675
897	5892	669
898	5901	662
899	5907	656
900	5914	649
901	5921	643
902	5927	636
903	5934	630
904	5940	623
905	5946	616
906	5952	610
907	5959	603
908	5967	597
909	5973	590
910	5980	584
911	5987	577
912	5993	571
913	6000	564
914	6007	558
915	6015	551
916	6023	545
917	6029	538
918	6035	531
919	6041	525
920	6048	518
921	6054	512
922	6061	505
923	6067	499
924	6075	492
925	6082	486
926	6087	479
927	6095	472
928	6101	466
929	6107	459
930	6114	453
931	6119	446
932	6126	439
933	6134	433
934	6140	426
935	6147	420
936	6154	413
937	6160	407
938	6166	400
939	6172	394
940	6179	387
941	6185	380
942	6191	374
943	6198	367
944	6205	361
945	6212	354
946	6217	347
947	6224	341
948	6231	334
949	6238	328
950	6244	321
951	6250	315
952	6256	308
953	6263	302
954	6270	295
955	6277	288
956	6284	282
957	6290	275
958	6296	269
959	6302	262
960	6310	256
961	6316	249
962	6322	242
963	6328	236
964	6334	229
965	6341	223
966	6348	216
967	6354	210
968	6360	203
969	6367	196
970	6373	190
971	6380	183
972	6386	177
973	6393	170
974	6398	164
975	6404	157
976	6411	150
977	6417	144
978	6424	137
979	6432	131
980	6439	124
981	6446	118
982	6452	111
983	6458	105
984	6465	98
985	6472	91
986	6477	85
987	6484	78
988	6491	72
989	6497	65
990	6503	59
991	6510	52
992	6515	45
993	6522	39
994	6529	32
995	6535	26
996	6542	19
997	6548	13
998	6554	6
999	6561	0
